,0,1,2
0,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R13 ( 0.00- 2.00 s).wav,53,"[-5.50628185 -3.26653004  9.18161964  4.61936378  2.29711032 -0.02778806
  5.30022573  2.14723921  1.73982453 -0.28125924 -3.79069877 -3.42479253
  2.43375802 -4.27787638 -6.95343876 -1.59155929 -0.26888254  1.76107264
 -5.49437428 -2.61488032 -1.6864233   1.40437567  0.30229089 -4.74095297
 -2.65466547 -3.08713269 -4.35830593  3.31886506  1.89895117 -2.92134094
 -6.08281422  2.15235734 -4.10774183  3.35403132 -0.38167757 -2.69884896
 -1.74322891  2.14780521 -4.93243408 -3.97497392  0.92747575 -1.30765867
  2.31742835 -4.3935585   0.15540656 -4.02252197  4.96962595 -3.29309058
 -0.37600407 -8.70543289  5.27787161 -0.71279019  9.37958336 17.79128456
 -4.26193237 -2.60524631  3.88188982 -1.53333616 -3.2875421   6.95614433]"
1,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L11 ( 0.00- 2.00 s).wav,53,"[-5.04469013 -3.11029649  9.68322849  6.95021439  2.88542747 -1.75899553
  8.45833683  2.8646214   1.96162581 -0.25954592 -2.26750994 -3.63306141
 -0.64438969 -4.59050131 -7.77731133 -1.97618914 -2.33952045  1.96775639
 -4.9474473  -2.23595691 -2.266608    1.9168092   0.75608158 -5.1151228
 -3.66622019 -3.99161601 -3.15258956  5.87146378  3.2358079  -2.17013311
 -6.18105602  1.10400879 -5.01742029  1.92515779 -1.33474135 -0.86990821
 -1.99346304  1.39234114 -5.64352369 -3.60691476  2.47149944 -1.09809327
  2.20799994 -4.89722729  0.23118448 -4.75830317  3.88805532 -4.68317032
 -0.39267677 -8.16010189  4.55858707  0.68674415  9.25045967 19.0067482
 -2.64138937 -3.01837373  3.46677423 -1.42676914 -3.95432901  5.93677235]"
2,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L9 ( 0.00- 2.00 s).wav,53,"[-5.9935441  -3.1999588   7.98617744  4.56845999  0.54143107 -2.07547832
  8.09941864  2.38793707  2.47170901 -1.3003093  -3.37280703 -2.84598398
  1.99518156 -3.09201503 -7.50969124 -1.79242134 -1.89966238  1.10341024
 -6.23061705 -1.20007753 -2.79530811  1.73123085  0.3548812  -6.06367302
 -0.88507062 -2.83293033 -2.95513177  5.77430439  3.65580964 -4.26862383
 -6.38157558  3.06570697 -3.77626729  4.80598164 -2.57456446 -3.51598334
 -2.19645381  1.79884756 -4.84372187 -3.82352066  0.56412214 -0.7484625
  4.40399647 -5.35225439 -1.54405582 -4.78801203  5.44622469 -3.08191752
 -0.1776202  -8.69840145  5.72076702 -0.78186673 11.03585339 19.2613678
 -3.71258569 -3.26164556  0.79387546 -3.47633767 -3.90849996  6.53621817]"
3,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R3 ( 0.00- 2.00 s).wav,53,"[-5.15181398 -3.43155432  9.84608841  4.64205027  2.04729819 -0.27719104
  7.29253483  2.82109141  1.23839962 -0.97744125 -2.70601439 -1.62679601
  2.07582641 -3.20014477 -6.85072422 -2.62184739 -1.22156525  0.72280532
 -4.5430665  -1.15877712 -1.18347871  2.87655687 -0.19983454 -4.52492189
 -0.492562   -4.5407114  -1.963117    6.77510881  1.99286473 -2.5612433
 -5.5733428   3.33280468 -4.6626153   1.81933892 -2.66801786 -2.53747559
 -2.61968303  1.07134008 -5.76441622 -2.45807886  1.10795665 -0.39044246
  3.19084334 -4.28963947  0.83377057 -3.51165462  3.16836739 -3.93794942
  0.08792039 -8.31718826  3.31686068 -1.135553    7.80490446 16.89682007
 -3.71010232 -1.89238977  2.14459944 -3.40921259 -3.55036283  5.27575922]"
4,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L1 ( 0.00- 2.00 s).wav,53,"[-4.59818649e+00 -2.89849830e+00  8.75097752e+00  6.36711264e+00
  2.40518045e+00 -1.85534751e+00  7.37459135e+00  2.90920949e+00
  1.92980695e+00  6.32366389e-02 -2.46353197e+00 -2.88560128e+00
  6.88725635e-02 -4.30097628e+00 -7.05520058e+00 -1.50966990e+00
 -1.89296198e+00  9.09972966e-01 -4.94835043e+00 -1.78976429e+00
 -2.67215061e+00  2.49667764e+00  3.12098354e-01 -5.01603794e+00
 -2.90583897e+00 -3.63341260e+00 -3.24739075e+00  4.26999044e+00
  2.17875147e+00 -2.41018891e+00 -5.50959253e+00  1.18244505e+00
 -4.77909374e+00  2.51670051e+00 -1.26082134e+00 -1.97385907e+00
 -1.92686915e+00  1.05197787e+00 -5.22300053e+00 -3.30078244e+00
  2.04295087e+00 -7.16375947e-01  2.81439376e+00 -4.32919550e+00
 -4.24763590e-01 -4.63179207e+00  4.54024315e+00 -3.80576754e+00
  5.13796926e-01 -8.31931305e+00  5.27659130e+00 -9.21865180e-03
  8.04730511e+00  1.80246544e+01 -2.72163391e+00 -2.38292050e+00
  2.73076415e+00 -1.76300156e+00 -3.40925765e+00  6.49242449e+00]"
5,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R15 ( 0.00- 2.00 s).wav,53,"[-6.20876074 -3.87575269  9.52751923  3.93459368  1.35978317  0.46784705
  5.85416412  0.91642475  1.97177863  0.1854779  -4.09103918 -2.6734004
  4.29517841 -3.61043096 -7.66132689 -1.82466161  0.06367748  1.88854051
 -5.98738337 -2.24349642 -0.87682354  0.86382848 -0.05793623 -5.60998869
 -1.06639421 -3.19940138 -4.42491436  3.65437269  1.72614515 -3.95405507
 -7.10665417  3.74214435 -3.16678429  3.92101502 -0.71260864 -3.21583867
 -2.03838444  3.83539724 -4.64455032 -3.78281665  0.02943147 -1.94925344
  1.82096577 -4.82006168  0.59229892 -3.16451001  4.21961212 -2.31071663
 -0.25863647 -8.27806091  4.57240963 -1.01404107 10.34828568 17.60616302
 -4.46868944 -3.10314417  2.83753633 -2.00937295 -3.69108486  7.99149609]"
6,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R5 ( 0.00- 2.00 s).wav,53,"[-4.77917242 -3.05370593  8.49416256  3.36317062  3.1079855   1.93183732
  3.06835628  3.29388547  0.67245615 -2.22518325 -4.00047207 -4.60612249
  1.05726302 -4.83018398 -5.52523232 -2.18235278 -0.96027088  1.73087585
 -4.28545141 -3.39238048 -0.69760466  0.73492348  2.06783271 -3.66004753
 -3.70270967 -3.80014777 -1.98788726  5.76045084  3.38515472 -1.95334029
 -4.97958755  3.31401825 -3.24445152  2.68968534 -0.63459742 -1.25766218
 -2.15847301  0.05432395 -4.93945742 -4.02000046  1.32863283 -0.9699536
  1.83694482 -3.84225655  0.40318325 -4.20354462  3.27214193 -3.83976626
 -1.85464072 -8.09700966  4.05402184 -0.37246823 10.07463074 16.14274597
 -4.39137936 -2.00422454  4.89840841 -2.25031972 -2.60019684  2.99138498]"
7,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R6 ( 0.00- 2.00 s).wav,53,"[-4.96649647 -3.12055612  7.31967163  3.27895904  0.82344294  1.2620132
  4.52127028  2.05319405  1.24852836 -1.22362554 -3.94896984 -3.65534258
  3.43990779 -3.45811892 -6.67603302 -1.41348326 -0.49233711  1.19433248
 -4.84479141 -2.45525646 -1.90887868  0.96832848 -0.05260384 -5.37403917
 -1.46473002 -2.60099101 -3.7984519   4.42248154  1.90304673 -2.82168579
 -6.0102253   2.96293378 -2.91610742  3.74751043 -0.0431924  -3.02165651
 -1.19141865  2.80905986 -4.76902866 -4.51007318  0.33647054 -1.99689615
  2.25487542 -4.70537615  0.26919228 -3.1578896   4.17586088 -2.93393636
 -0.79615349 -7.27846575  4.67854118 -0.25437602 11.05931091 17.14323044
 -4.09698105 -2.73225832  2.9716115  -2.33351946 -3.93141007  4.80638647]"
8,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L4 ( 0.00- 2.00 s).wav,53,"[-4.71521425 -3.37159181  8.62154484  5.17232227  1.0328939   0.10390597
  7.77813387  2.69697356  1.66136587 -1.02409065 -2.50963211 -2.90088248
  1.12143552 -3.95335984 -7.77282047 -1.57703364 -1.52860773  1.01380873
 -4.58276844 -1.6362468  -2.20638537  2.51932335 -0.2982969  -5.49855471
 -2.00122714 -3.98506975 -3.49292111  6.18659163  1.90430701 -2.06365705
 -5.64383316  1.68272436 -4.34987259  2.49719095 -1.43057203 -1.94461262
 -1.74895477  2.19493318 -6.37610483 -4.04434252  0.95432127 -1.23153377
  2.86616421 -4.95688057  1.38601112 -3.71441388  4.03094816 -4.58943558
 -0.25946674 -8.08946705  4.22451687 -0.11262031  9.49347401 18.48586845
 -3.04843831 -2.67223024  2.68911338 -2.72084379 -4.35296631  5.10488892]"
9,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R7 ( 0.00- 2.00 s).wav,53,"[-6.75476074 -4.12016058 11.83481216  6.45844746  2.03109956 -1.10513008
  7.87711668  0.73986846  2.41000962  2.39404678 -4.07196522 -2.6453495
  4.83836222 -3.84663129 -9.31977272 -1.50192332  0.26831746  1.08302164
 -6.91288042 -2.31056309 -1.07206786  1.80997121 -1.17531741 -6.37587833
 -0.94354051 -3.24799132 -5.7688446   2.62224936  0.23669133 -4.02219534
 -8.26509953  3.08674264 -4.92752218  3.35098791  0.08015819 -3.72903371
 -2.35563684  4.52995491 -4.64460421 -3.61795878  0.71588868 -2.36701488
  1.68768048 -5.24295855 -0.1263389  -2.98863459  4.56662512 -2.40340805
  0.89260757 -8.93673611  5.41730261 -0.70373464  9.11841869 19.95500946
 -4.36054516 -3.16571069  2.85693812 -1.24224114 -4.14764118 11.14098358]"
10,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L7 ( 0.00- 2.00 s).wav,53,"[-5.26063585 -3.3069303   8.29403496  5.94373941  0.27711794 -2.10614133
  9.20593834  2.81578326  2.81388354 -0.80235082 -2.9157095  -2.75917172
  1.37318993 -3.64628744 -8.28680325 -1.56236219 -2.13030243  0.10205317
 -5.80211735 -0.7935738  -3.7596097   3.1881597  -0.7073071  -6.74401712
 -1.14159203 -3.41281629 -3.70542026  5.50158548  2.23874092 -3.32257223
 -6.00381374  1.77788544 -4.48672295  4.30371666 -2.31010079 -3.69073153
 -1.77849197  2.03690314 -6.01798773 -4.32539892  1.18354058 -0.65596718
  4.58028316 -5.16008949 -0.76209378 -4.78271437  5.90025711 -3.91591525
  0.76038992 -9.13528347  5.95273876 -0.19033243 10.23365211 20.67063332
 -3.11657023 -2.91032243  0.95478457 -3.42704153 -4.4899478   6.61055374]"
11,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-L15 ( 0.00- 2.00 s).wav,53,"[-5.44736195 -3.95629835  9.80816936  5.80350018  2.27177572  0.08596136
  7.45519304  2.37677455  1.71775162 -0.52257609 -2.92534399 -3.70001841
  1.57367468 -4.74272394 -8.35352612 -1.62239397 -1.17762327  2.29540467
 -5.3437624  -2.73919868 -2.48777318  1.87283576 -0.08717946 -5.56087017
 -3.12731433 -3.79544163 -4.47487164  5.03717709  2.44354749 -2.35635066
 -6.75199604  1.78775442 -4.6448617   2.75231242 -0.48645499 -2.03663158
 -1.99040532  3.12433887 -6.28884649 -4.24523687  1.26011443 -1.83386552
  2.17087173 -5.58350372  1.43842745 -4.06932497  4.74347639 -4.70710564
 -0.60480249 -8.78616714  4.80152464 -0.20508458 11.03420067 20.16554832
 -3.60189009 -3.14065647  4.27647638 -1.57857275 -4.63067436  6.70317888]"
12,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R10 ( 0.00- 2.00 s).wav,53,"[-6.05496502 -3.03420901  9.75636768  4.79743576  1.35391212  0.38896042
  5.53862047  1.9346776   2.09370732 -0.25036067 -5.09367704 -3.63068175
  3.70377421 -4.18198776 -7.77308846 -1.46392322 -0.62890863  0.36618203
 -6.03940487 -2.52120352 -1.32198775  1.55943453  0.12047584 -6.10285711
 -1.75086153 -3.11364341 -4.64242315  4.43424225  1.12897754 -3.95573354
 -7.01690674  3.60580659 -3.94394827  3.95124984 -0.31848693 -3.29199386
 -1.29292512  2.57276177 -5.03046703 -4.96890497  1.00972319 -1.85508251
  2.25889397 -4.31729221 -0.58574563 -3.85371113  4.00624561 -2.59366131
  0.23473415 -8.88078403  5.9524622  -0.61855996 10.59800816 19.58403778
 -4.72702646 -2.80167627  2.87730241 -2.62205839 -3.66094327  7.17368364]"
13,/home/hhdx/PycharmProjects/yyds/yds_paper/ear_recognition/data_50/train_ear60/A58/058-R11 ( 0.00- 2.00 s).wav,53,"[-6.33941078e+00 -3.31020737e+00  8.71544170e+00  4.30028677e+00
  1.82662058e+00 -5.82377672e-01  5.72030258e+00  1.31169271e+00
  1.80232775e+00 -1.02575505e-02 -4.16205931e+00 -4.06135321e+00
  3.34628201e+00 -4.11282587e+00 -7.64645433e+00 -6.86593175e-01
  1.67550668e-01  2.43075967e+00 -6.36757851e+00 -3.06494832e+00
 -2.30488849e+00  2.97890663e-01  1.94133371e-01 -5.58064413e+00
 -2.51421142e+00 -2.05911922e+00 -5.44654083e+00  2.40855336e+00
  2.19164658e+00 -3.43735147e+00 -6.99644756e+00  2.42148709e+00
 -3.65671825e+00  4.61007833e+00  5.73608875e-01 -3.11487436e+00
 -1.42049551e+00  3.64374113e+00 -4.35485220e+00 -4.81321383e+00
  1.39887065e-01 -2.29205656e+00  2.10712814e+00 -5.44526386e+00
 -6.60461187e-01 -4.13539934e+00  5.89301109e+00 -2.78769135e+00
 -5.97819865e-01 -8.09063435e+00  6.13216972e+00 -4.17903632e-01
  1.13982000e+01  1.91390018e+01 -4.42687654e+00 -3.50483370e+00
  3.79851317e+00 -1.06518459e+00 -4.01007128e+00  8.25334263e+00]"
